Bacillus subtilis subsp. subtilis 168
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
1	dnaA	BSU00010	16077069	1	410	1750	1
1	dnaN	BSU00020	16077070	1	1939	3075	2
2	yaaA	BSU00030	16077071	1	3206	3421	1
2	recF	BSU00040	16077072	1	3437	4549	2
2	yaaB	BSU00050	255767014	1	4567	4812	3
2	gyrB	BSU00060	16077074	1	4867	6783	4
2	gyrA	BSU00070	16077075	1	6994	9459	5
3	yaaC	BSU00080	16077076	-1	14847	15794	1
4	guaB	BSU00090	16077077	1	15915	17381	1
5	dacA	BSU00100	16077078	1	17534	18865	1
6	yaaD	BSU00110	16077079	1	19062	19946	1
6	yaaE	BSU00120	16077080	1	19968	20558	2
7	serS	BSU00130	16077081	1	20880	22157	1
8	dgk	BSU00150	16077083	-1	23146	23769	1
8	dck	BSU00140	16077082	-1	22496	23149	2
9	yaaH	BSU00160	16077084	-1	23868	25151	1
10	yaaI	BSU00170	16077085	-1	25221	25766	1
11	tadA	BSU00180	16077086	1	25852	26337	1
12	dnaX	BSU00190	255767015	1	26814	28505	1
12	yaaK	BSU00200	16077088	1	28529	28852	2
12	recR	BSU00210	16077089	1	28867	29463	3
12	yaaL	BSU00220	16077090	1	29481	29705	4
13	bofA	BSU00230	255767016	1	29772	30035	1
14	csfB	BSU00240	16077092	1	35531	35725	1
15	xpaC	BSU00250	16077093	1	35845	36459	1
15	yaaN	BSU00260	16077094	1	36478	37638	2
16	yaaO	BSU00270	16077095	1	37720	39162	1
16	tmk	BSU00280	255767017	1	39159	39797	2
16	yaaQ	BSU00290	16077097	1	39871	40200	3
16	yaaR	BSU00300	16077098	1	40213	40653	4
16	holB	BSU00310	16077099	1	40665	41654	5
16	yaaT	BSU00320	16077100	1	41657	42484	6
16	yabA	BSU00330	16077101	1	42499	42858	7
16	yabB	BSU00340	16077102	1	42917	43660	8
16	yazA	BSU00350	16077103	1	43647	43946	9
16	yabC	BSU00360	16077104	1	43921	44799	10
